name,longitude,latitude
Panthera leo,35.401633,-3.384371
Panthera leo,35.060421,1.782361
Panthera leo,37.141713,-7.57754
Panthera leo,27.090561,-25.185167
Panthera leo,29.508934,4.056903
Panthera leo,29.415597000000002,3.966344
Panthera leo,29.578338,3.966993
Panthera leo,29.552918,-16.174529
Panthera leo,29.415366,-16.035383
Panthera leo,29.591185,-16.091022
Panthera leo,35.683775,-3.76543
Panthera leo,34.392736,-2.091803
Panthera leo,23.499248,-18.429827
Panthera leo,16.511339,-19.193551
Panthera leo,15.957947,-19.355982
Panthera leo,35.488373,-3.236584
Panthera leo,35.0188,-7.657634
Panthera leo,38.518243,-2.112878
Panthera leo,32.152027,-21.251375
Panthera leo,31.63448,-24.993654
Panthera leo,29.557597,3.747189
Panthera leo,24.486045,-23.271469
Panthera leo,36.751382,0.049367
Panthera leo,34.836671,-2.662243
Panthera leo,31.827241,-24.596903
Panthera leo,31.818969,-24.506712
Panthera leo,34.83097,-7.757617
Panthera leo,31.685196,-25.091163
Panthera leo,35.125121,-1.167347
Panthera leo,35.287317,-1.186628
Panthera leo,37.820658,-3.881224
Panthera leo,25.774736,-33.700135
Panthera leo,25.58763,-32.09605
Panthera leo,31.570077,-23.010526
Panthera leo,26.126106,-33.587398
Panthera leo,25.034883,-20.52292
Panthera leo,39.002185,1.732056
Panthera leo,35.39902,-1.135524
Panthera leo,31.293616,-23.280366
Panthera leo,38.088135,-3.567781
Panthera leo,16.217198,-19.152011
Panthera leo,17.016843,-18.957234
Panthera leo,17.046197,-18.810333
Panthera leo,40.0922,-1.7329
Panthera leo,39.556,-1.5308
Panthera leo,39.5206,-1.0869
Panthera leo,38.143577,-3.440185
Panthera leo,24.450936,-18.661657
Panthera leo,25.985256,-15.061964
Panthera leo,36.294687,-0.551654
Panthera leo,23.868908,-21.473954
Panthera leo,2.270401,11.658717
Panthera leo,30.893179,-24.162494
Panthera leo,32.174015,-20.358633
Panthera leo,2.770513,12.59729
Panthera leo,2.485048,12.599877
Panthera leo,2.676457,12.515257
Panthera leo,32.340446,-20.266597
Panthera leo,31.978192,-26.328392
Panthera leo,31.551319,-25.369618
Panthera leo,31.774762,-24.191406
Panthera leo,1.523847,11.448302
Panthera leo,35.689265,-3.277903
Panthera leo,0.999249,11.812358
Panthera leo,2.285133,11.925289
Panthera leo,2.185508,11.92593
Panthera leo,31.019918,-25.161665
Panthera leo,31.051694,-24.582945
Panthera leo,37.9554,-0.2295
Panthera leo,31.45703,-23.593375
Panthera leo,31.493993,-25.16639
Panthera leo,31.280449,-25.149576
Panthera leo,32.036528,-21.586138
Panthera leo,27.809616,-17.692465
Panthera leo,2.093318,12.060135
Panthera leo,2.018368,11.964395
Panthera leo,32.074447,-28.234729
Panthera leo,25.09688,-17.976886
Panthera leo,36.847011,0.325104
Panthera leo,1.405671,11.448005
Panthera leo,31.203435,-24.570833
Panthera leo,29.267325,3.689697
Panthera leo,31.844246,-24.409526
Panthera leo,23.302486,-21.73392
Panthera leo,23.003578,-21.788928
Panthera leo,34.740916,-2.512111
Panthera leo,34.666551,-2.751477
Panthera leo,35.166842,-2.613175
Panthera leo,35.030573,-2.685166
Panthera leo,34.904339,-3.108534
Panthera leo,34.893241,-2.874782
Panthera leo,0.876673,11.992459
Panthera leo,0.838093,11.857201
Panthera leo,1.657817,11.476597
Panthera leo,22.747594,-19.243727
Panthera leo,34.840398,-3.194356
Panthera leo,31.935722,-25.0948
Panthera leo,31.97396,-24.213239
Panthera leo,19.920666,-25.659272
Panthera leo,19.840295,-25.75338
Panthera leo,19.829591,-25.435462
Panthera leo,26.353297,-18.617248
Panthera leo,1.752263,11.882061
Panthera leo,34.50638,-18.852205
Panthera leo,28.895019,-22.386361
Panthera leo,37.565486,0.053828
Panthera leo,28.916393,-28.758105
Panthera leo,25.901439,-17.848824
Panthera leo,37.251122,0.226539
Panthera leo,31.983165,-27.589453
Panthera leo,32.179331,-24.470851
Panthera leo,35.215822,-3.166768
Panthera leo,31.769216,2.292693
Panthera leo,1.294558,11.454929
Panthera leo,2.452614,12.288534
Panthera leo,19.341037,-23.183152
Panthera leo,34.763706,-1.955709
Panthera leo,34.665267,-1.953406
Panthera leo,34.76645,-1.854166
Panthera leo,34.645651,-1.825619
Panthera leo,31.886978,-27.649743
Panthera leo,31.548566,-25.058652
Panthera leo,35.337495,-1.741273
Panthera leo,35.115827,-1.467759
Panthera leo,35.229437,-1.694448
Panthera leo,35.149571,-1.271833
Panthera leo,31.887905,-13.092689
Panthera leo,31.511197,-24.489547
Panthera leo,31.257888,-24.217392
Panthera leo,38.343751,-3.447451
